cost	deps	time	x	x0	x1	x6
142.63180064433132	17.787685990490857	Tue Jun  4 14:49:56 2019	[11.63459734 19.41612876]	[10.0, 20.0]	60.01	-0.501
59.89872192873044	17.350891899775547	Tue Jun  4 14:50:29 2019	[15.91395988 16.82094701]	[10.0, 20.0]	60.01	-0.451
35.8004735676089	11.172137351411337	Tue Jun  4 14:51:07 2019	[15.15318436 15.28901468]	[10.0, 20.0]	60.01	-0.401
21.532552980956105	4.550862770942359	Tue Jun  4 14:51:47 2019	[16.31478725 16.33756532]	[10.0, 20.0]	60.01	-0.351
13.66258757177874	6.605296789530257e-06	Tue Jun  4 14:52:38 2019	[15.53968701 15.53969027]	[10.0, 20.0]	60.01	-0.301
11.208415668986582	0.0002186507004324767	Tue Jun  4 14:53:39 2019	[15.51840519 15.51852499]	[10.0, 20.0]	60.01	-0.251
8.961736184378388	6.0921942221625613e-05	Tue Jun  4 14:54:38 2019	[15.51889854 15.51889794]	[10.0, 20.0]	60.01	-0.20099999999999996
6.71448493016574	8.67285314569699e-05	Tue Jun  4 14:55:40 2019	[15.52612361 15.5260712 ]	[10.0, 20.0]	60.01	-0.15099999999999997
4.488563035984964	0.00025500171453529674	Tue Jun  4 14:56:45 2019	[15.54265672 15.5425117 ]	[10.0, 20.0]	60.01	-0.10099999999999998
2.2667924599594356	0.0003048903442959272	Tue Jun  4 14:57:42 2019	[15.58958546 15.58970801]	[10.0, 20.0]	60.01	-0.05099999999999999
0.0494822819810913	8.869436764769034e-05	Tue Jun  4 14:58:39 2019	[15.63254235 15.63276991]	[10.0, 20.0]	60.01	-0.0010000000000000009
2.1779443481644183	-0.00022134749856661529	Tue Jun  4 14:59:41 2019	[15.56443563 15.56431327]	[10.0, 20.0]	60.01	0.049000000000000044
4.399374742034317	-0.00029601263543099776	Tue Jun  4 15:00:49 2019	[15.53987321 15.53971159]	[10.0, 20.0]	60.01	0.09900000000000009
6.626140354069112	-0.0002057098225378695	Tue Jun  4 15:01:50 2019	[15.52603436 15.52592309]	[10.0, 20.0]	60.01	0.14900000000000002
8.863133627651889	-0.00014150932157974694	Tue Jun  4 15:02:52 2019	[15.52136031 15.52143766]	[10.0, 20.0]	60.01	0.19900000000000007
11.119498866064724	-0.0002995479625695907	Tue Jun  4 15:03:54 2019	[15.51584366 15.51602334]	[10.0, 20.0]	60.01	0.249
13.526609986080404	-0.0005826286204779763	Tue Jun  4 15:04:49 2019	[15.45628887 15.45603784]	[10.0, 20.0]	60.01	0.29900000000000004
21.13475182734112	-4.282546474930612	Tue Jun  4 15:05:31 2019	[16.27746466 16.29244763]	[10.0, 20.0]	60.01	0.3490000000000001
38.56461073942996	-10.594632364668385	Tue Jun  4 15:06:03 2019	[15.13509928 15.7470068 ]	[10.0, 20.0]	60.01	0.399
57.31716808579894	-17.541054832925	Tue Jun  4 15:06:39 2019	[16.91259126 17.28108678]	[10.0, 20.0]	60.01	0.44900000000000007
140.29994672019328	-17.726932342908313	Tue Jun  4 15:07:03 2019	[11.63640918 19.18659306]	[10.0, 20.0]	60.01	0.499
425.9718627716027	22.666917765675038	Tue Jun  4 15:07:41 2019	[ 2.60257479 29.19361956]	[10.0, 20.0]	70.00999999999999	-0.501
340.94350823000195	19.996257538948754	Tue Jun  4 15:08:36 2019	[ 3.85742699 26.3351767 ]	[10.0, 20.0]	70.00999999999999	-0.451
233.48020607282876	18.76583533094731	Tue Jun  4 15:09:09 2019	[ 7.65506892 22.89661309]	[10.0, 20.0]	70.00999999999999	-0.401
114.38050346658017	17.904490757498465	Tue Jun  4 15:09:36 2019	[13.70152428 19.07493466]	[10.0, 20.0]	70.00999999999999	-0.351
41.48507516662216	12.793096213936025	Tue Jun  4 15:10:10 2019	[15.40865933 15.32148973]	[10.0, 20.0]	70.00999999999999	-0.301
20.125995171001165	3.5967536660727433	Tue Jun  4 15:10:49 2019	[16.12394659 16.143942  ]	[10.0, 20.0]	70.00999999999999	-0.251
12.3275927917838	0.00043684619549821946	Tue Jun  4 15:11:49 2019	[15.51509679 15.5153405 ]	[10.0, 20.0]	70.00999999999999	-0.20099999999999996
9.232607193659579	0.00020485149768489919	Tue Jun  4 15:12:48 2019	[15.51826045 15.5181326 ]	[10.0, 20.0]	70.00999999999999	-0.15099999999999997
6.169068066100315	-6.714027014709245e-05	Tue Jun  4 15:13:46 2019	[15.55442729 15.55440924]	[10.0, 20.0]	70.00999999999999	-0.10099999999999998
3.1114150663592155	0.000290547518176254	Tue Jun  4 15:14:45 2019	[15.55342555 15.55358182]	[10.0, 20.0]	70.00999999999999	-0.05099999999999999
0.06357443700517731	0.0003241891583343204	Tue Jun  4 15:15:47 2019	[16.01517091 16.01498911]	[10.0, 20.0]	70.00999999999999	-0.0010000000000000009
2.9898506838381826	-0.0002533887154356762	Tue Jun  4 15:16:46 2019	[15.58477231 15.58490732]	[10.0, 20.0]	70.00999999999999	0.049000000000000044
6.043865717825014	-0.0003685416216399062	Tue Jun  4 15:17:46 2019	[15.55433506 15.55414158]	[10.0, 20.0]	70.00999999999999	0.09900000000000009
9.110592973802873	-0.00022192018408873082	Tue Jun  4 15:18:46 2019	[15.52086351 15.52074616]	[10.0, 20.0]	70.00999999999999	0.14900000000000002
12.203291981062135	-0.0003306943931420392	Tue Jun  4 15:19:42 2019	[15.54061432 15.54078413]	[10.0, 20.0]	70.00999999999999	0.19900000000000007
19.70302557169301	-3.292340296824662	Tue Jun  4 15:20:21 2019	[16.53139689 16.55974983]	[10.0, 20.0]	70.00999999999999	0.249
