cost	deps	time	x	x0	x1	x6
60.15241830500159	-17.469936214506617	Mon Jun  3 19:18:03 2019	[14.45279414 15.02642883]	[10.0, 19.0]	60.01	0.45000000000000007
60.557193772030864	-17.5933796879914	Mon Jun  3 19:18:35 2019	[15.12718344 15.57948213]	[20.0, 10.0]	60.01	0.45000000000000007
142.25408932020906	-17.731483159654402	Mon Jun  3 19:19:08 2019	[11.14059988 18.80812432]	[10.0, 19.0]	60.01	0.5
146.6992802205469	-17.18998204027379	Mon Jun  3 19:20:05 2019	[ 6.80038879 14.84915086]	[20.0, 10.0]	60.01	0.5
193.72044124099187	18.44764546999272	Mon Jun  3 19:20:36 2019	[ 9.91156311 22.02208497]	[10.0, 19.0]	62.01	-0.5
195.46830941374498	18.180717778599018	Mon Jun  3 19:21:25 2019	[ 8.11324891 20.33846773]	[20.0, 10.0]	62.01	-0.5
110.92039692593701	17.595544316406816	Mon Jun  3 19:21:56 2019	[12.60164463 17.88796959]	[10.0, 19.0]	62.01	-0.45
107.13812356130782	17.816327549407333	Mon Jun  3 19:22:36 2019	[14.46527111 19.58673482]	[20.0, 10.0]	62.01	-0.45
47.86122682527947	14.671835241131262	Mon Jun  3 19:23:13 2019	[15.66976172 15.95299818]	[10.0, 19.0]	62.01	-0.4
48.506868872184754	14.918127094876667	Mon Jun  3 19:23:47 2019	[15.8319512  15.79239001]	[20.0, 10.0]	62.01	-0.4
25.960722799801324	7.494902065258728	Mon Jun  3 19:24:31 2019	[14.35635416 14.4067683 ]	[10.0, 19.0]	62.01	-0.35
26.18633078519723	7.676305392935447	Mon Jun  3 19:25:14 2019	[16.17188887 16.20427935]	[20.0, 10.0]	62.01	-0.35
15.952320908272837	1.2736101375172524	Mon Jun  3 19:26:13 2019	[15.79859204 15.79840692]	[10.0, 19.0]	62.01	-0.3
15.874529747992243	1.2345169653899433	Mon Jun  3 19:27:10 2019	[15.21109095 15.21190325]	[20.0, 10.0]	62.01	-0.3
11.891378197461663	0.00042543497006874986	Mon Jun  3 19:28:13 2019	[13.98123692 13.98099367]	[10.0, 19.0]	62.01	-0.25
11.943494275315327	0.0002197705415198925	Mon Jun  3 19:29:24 2019	[15.43706843 15.43694323]	[20.0, 10.0]	62.01	-0.25
9.490637774480197	-1.5165370498948505e-05	Mon Jun  3 19:30:35 2019	[13.98725956 13.98744061]	[10.0, 19.0]	62.01	-0.19999999999999996
9.529400592097252	0.0001108112383860771	Mon Jun  3 19:31:42 2019	[15.44035062 15.44028191]	[20.0, 10.0]	62.01	-0.19999999999999996
7.10152698271815	3.306665618652005e-06	Mon Jun  3 19:32:57 2019	[13.99074816 13.99075175]	[10.0, 19.0]	62.01	-0.14999999999999997
